month,year,oneplus,samsung,date
1,2016,0,4.93,01-1-2016
2,2016,0,4.86,01-2-2016
3,2016,0,4.98,01-3-2016
4,2016,0,5.31,01-4-2016
5,2016,0,5.27,01-5-2016
6,2016,0,5.13,01-6-2016
7,2016,0,5.4,01-7-2016
8,2016,0,5,01-8-2016
9,2016,0,4.5,01-9-2016
10,2016,0,4.8,01-10-2016
11,2016,0,4.54,01-11-2016
12,2016,0,4.7,01-12-2016
1,2017,0,4.16,01-1-2017
2,2017,0,4.35,01-2-2017
3,2017,0,4.57,01-3-2017
4,2017,0,4.87,01-4-2017
5,2017,0,4.75,01-5-2017
6,2017,0,4.75,01-6-2017
7,2017,0,4.66,01-7-2017
8,2017,0,4.61,01-8-2017
9,2017,0.3,4.45,01-9-2017
10,2017,0.2,4.31,01-10-2017
11,2017,0.4,4.28,01-11-2017
12,2017,0.5,4.21,01-12-2017
1,2018,0.6,10.8,01-1-2018
2,2018,0.4,11.1,01-2-2018
3,2018,0.3,12.23,01-3-2018
4,2018,0.4,12.27,01-4-2018
5,2018,0.59,12.83,01-5-2018
6,2018,0.74,12.65,01-6-2018
7,2018,1.2,12.71,01-7-2018
8,2018,0.79,13.19,01-8-2018
9,2018,1.04,13.09,01-9-2018
10,2018,1.7,13.68,01-10-2018
11,2018,1.78,12.07,01-11-2018
12,2018,1.67,12.47,01-12-2018
1,2019,1.78,12.57,01-1-2019
2,2019,1.76,12.27,01-2-2019
3,2019,1.56,12.99,01-3-2019
4,2019,1.09,12.46,01-4-2019
5,2019,1.11,12.09,01-5-2019
6,2019,0.78,10.37,01-6-2019
7,2019,0.82,10.56,01-7-2019
8,2019,0.78,10.71,01-8-2019
9,2019,2.7,10.76,01-9-2019
10,2019,3.2,9.88,01-10-2019
11,2019,4.7,18.86,01-11-2019
12,2019,5.01,17.4,01-12-2019
1,2020,5.17,15.91,01-1-2020
2,2020,5.08,15.05,01-2-2020
3,2020,4.99,16.01,01-3-2020
4,2020,5.8,19.24,01-4-2020
5,2020,5.12,17.67,01-5-2020
6,2020,5.18,16.91,01-6-2020
7,2020,5.26,15.66,01-7-2020
8,2020,5.75,14.47,01-8-2020
9,2020,6.42,18.42,01-9-2020
10,2020,8.36,18.7,01-10-2020
11,2020,8.27,16.43,01-11-2020
12,2020,9.23,17.32,01-12-2020
