,month,year,oneplus,samsung,date
0,1,2016,0,4.93,01-01-2016
1,2,2016,0,4.86,02-01-2016
2,3,2016,0,4.98,03-01-2016
3,4,2016,0,5.31,04-01-2016
4,5,2016,0,5.27,05-01-2016
5,6,2016,0,5.13,06-01-2016
6,7,2016,0,5.4,07-01-2016
7,8,2016,0,5,08-01-2016
8,9,2016,0,4.5,09-01-2016
9,10,2016,0,4.8,10-01-2016
10,11,2016,0,4.54,11-01-2016
11,12,2016,0,4.7,12-01-2016
12,1,2017,0,4.16,01-01-2017
13,2,2017,0,4.35,02-01-2017
14,3,2017,0,4.57,03-01-2017
15,4,2017,0,4.87,04-01-2017
16,5,2017,0,4.75,05-01-2017
17,6,2017,0,4.75,06-01-2017
18,7,2017,0,4.66,07-01-2017
19,8,2017,0,4.61,08-01-2017
20,9,2017,0.3,4.45,09-01-2017
21,10,2017,0.2,4.31,10-01-2017
22,11,2017,0.4,4.28,11-01-2017
23,12,2017,0.5,4.21,12-01-2017
24,1,2018,0.6,10.8,01-01-2018
25,2,2018,0.4,11.1,02-01-2018
26,3,2018,0.3,12.23,03-01-2018
27,4,2018,0.4,12.27,04-01-2018
28,5,2018,0.59,12.83,05-01-2018
29,6,2018,0.74,12.65,06-01-2018
30,7,2018,1.2,12.71,07-01-2018
31,8,2018,0.79,13.19,08-01-2018
32,9,2018,1.04,13.09,09-01-2018
33,10,2018,1.7,13.68,10-01-2018
34,11,2018,1.78,12.07,11-01-2018
35,12,2018,1.67,12.47,12-01-2018
36,1,2019,1.78,12.57,01-01-2019
37,2,2019,1.76,12.27,02-01-2019
38,3,2019,1.56,12.99,03-01-2019
39,4,2019,1.09,12.46,04-01-2019
40,5,2019,1.11,12.09,05-01-2019
41,6,2019,0.78,10.37,06-01-2019
42,7,2019,0.82,10.56,07-01-2019
43,8,2019,0.78,10.71,08-01-2019
44,9,2019,2.7,10.76,09-01-2019
45,10,2019,3.2,9.88,10-01-2019
46,11,2019,4.7,18.86,11-01-2019
47,12,2019,5.01,17.4,12-01-2019
48,1,2020,5.17,15.91,01-01-2020
49,2,2020,5.08,15.05,02-01-2020
50,3,2020,4.99,16.01,03-01-2020
51,4,2020,5.8,19.24,04-01-2020
52,5,2020,5.12,17.67,05-01-2020
53,6,2020,5.18,16.91,06-01-2020
54,7,2020,5.26,15.66,07-01-2020
55,8,2020,5.75,14.47,08-01-2020
56,9,2020,6.42,18.42,09-01-2020
57,10,2020,8.36,18.7,10-01-2020
58,11,2020,8.27,16.43,11-01-2020
59,12,2020,9.23,17.32,12-01-2020
